name,description
pr,"description: ""Create a GitHub PR from current branch with unpushed commits — discovers templates, analyzes changes, pushes"""
project-init,description: Detect a project's stack and produce a dry-run ECC onboarding plan using the repository's install manifests and stack mappings.
projects,name: projects
promote,name: promote
prp-commit,"description: ""Quick commit with natural language file targeting — describe what to commit in plain English"""
prp-implement,description: Execute an implementation plan with rigorous validation loops
prp-plan,description: Create comprehensive feature implementation plan with codebase analysis and pattern extraction
prp-pr,"description: ""Create a GitHub PR from current branch with unpushed commits — discovers templates, analyzes changes, pushes"""
prp-prd,"description: ""Interactive PRD generator - problem-first, hypothesis-driven product spec with back-and-forth questioning"""
prune,name: prune
python-review,"description: Comprehensive Python code review for PEP 8 compliance, type hints, security, and Pythonic idioms. Invokes the python-reviewer agent."
quality-gate,description: Run the ECC formatter quality gate for a single file and report remediation steps.
react-build,"description: Fix React build failures (Vite, webpack, Next.js, CRA, Parcel, esbuild, Bun) incrementally — JSX/TSX compile errors, hydration mismatches, server/client component boundary failures, missi"
react-review,"description: Comprehensive React/JSX code review for hook correctness, render performance, server/client component boundaries, accessibility, and React-specific security. Invokes the react-reviewer ag"
react-test,"description: Enforce TDD workflow for React. Write React Testing Library tests first (behavior-focused, accessibility-first), then implement components. Detects Vitest or Jest and verifies coverage ta"
refactor-clean,description: Safely identify and remove dead code with verification after each change.
resume-session,description: Load the most recent session file from ~/.claude/session-data/ and resume work with full context from where the last session ended.
review-pr,description: Comprehensive PR review using specialized agents
rust-build,"description: Fix Rust build errors, borrow checker issues, and dependency problems incrementally. Invokes the rust-build-resolver agent for minimal, surgical fixes."
rust-review,"description: Comprehensive Rust code review for ownership, lifetimes, error handling, unsafe usage, and idiomatic patterns. Invokes the rust-reviewer agent."
rust-test,"description: Enforce TDD workflow for Rust. Write tests first, then implement. Verify 80%+ coverage with cargo-llvm-cov."
santa-loop,description: Adversarial dual-review convergence loop — two independent model reviewers must both approve before code ships.
save-session,description: Save current session state to a dated file in ~/.claude/session-data/ so work can be resumed in a future session with full context.
security-scan,"description: Run AgentShield against agent, hook, MCP, permission, and secret surfaces."
sessions,"description: Manage Claude Code session history, aliases, and session metadata."
setup-pm,description: Configure your preferred package manager (npm/pnpm/yarn/bun)
skill-create,name: skill-create
skill-health,name: skill-health
test-coverage,"description: Analyze coverage, identify gaps, and generate missing tests toward the target threshold."
update-codemaps,description: Scan project structure and generate token-lean architecture codemaps.
update-docs,"description: Sync documentation from source-of-truth files such as scripts, schemas, routes, and exports."
